unitserialnumber,code,deviceId,timestamp,manual,type,message,alarm_type
2024004,4043.0,un0000000000002155,2024-12-02 03:34:03,False,4,"MEMBRANE DIRECT INTEGRITY (DIT) TEST -  Complete DIT, If The Maximum Allowed Time Without A DIT Has Been Exceeded",INFO
2024004,4020.0,un0000000000002155,2024-12-02 03:54:09,False,4,AUTOMATIC TRANSITION - Production State - Continue Potable Water Production,INFO
2024004,2000.0,un0000000000002155,2024-12-02 04:20:09,False,4,Received the command for initializationstate,INFO
2024004,4020.0,un0000000000002155,2024-12-02 04:21:27,False,4,AUTOMATIC TRANSITION - Production State - Continue Potable Water Production,INFO
2024004,4041.0,un0000000000002155,2024-12-02 04:35:49,False,4,AUTOMATIC TRANSITION - Production State,INFO
2024004,4061.0,un0000000000002155,2024-12-02 05:22:11,False,4,CLEAN IN PLACE TRIGGER - Transition to Membrane Air Scour State - IF Cleaning In-Place Cycle Trigger Mode Is Set To TIME,INFO
2024004,4061.0,un0000000000002155,2024-12-02 05:22:41,False,4,CLEAN IN PLACE TRIGGER - Transition to Membrane Air Scour State - IF Cleaning In-Place Cycle Trigger Mode Is Set To TIME,INFO
2024004,4037.0,un0000000000002155,2024-12-02 05:35:26,False,4,"MEMBRANE CLEANING - TEST Membrane Flux Profile, Post Membrane Air Scouring And/Or Membrane Maintenance Clean",INFO
2024004,4050.0,un0000000000002155,2024-12-02 05:44:28,False,4,STOP Membrane Flux Profile Test - Test PASSED,INFO
2024004,4020.0,un0000000000002155,2024-12-02 05:47:12,False,4,AUTOMATIC TRANSITION - Production State - Continue Potable Water Production,INFO
2024004,4062.0,un0000000000002155,2024-12-02 06:00:57,False,4,CLEAN IN PLACE TRIGGER - Transition to Pre-Filter Flush Clean State - IF Cleaning In-Place Cycle Trigger Mode Is Set To TIME,INFO
2024004,4062.0,un0000000000002155,2024-12-02 06:01:26,False,4,CLEAN IN PLACE TRIGGER - Transition to Pre-Filter Flush Clean State - IF Cleaning In-Place Cycle Trigger Mode Is Set To TIME,INFO
2024004,4020.0,un0000000000002155,2024-12-02 06:10:48,False,4,AUTOMATIC TRANSITION - Production State - Continue Potable Water Production,INFO
2024004,4001.0,un0000000000002155,2024-12-02 06:37:36,False,4,STOP Clean-In-Place (CIP) Water Tank Fill - If Poison Timer Has Ended  - Transition to Tag Out State,INFO
2024004,4001.0,un0000000000002155,2024-12-02 06:37:36,False,4,STOP Clean-In-Place (CIP) Water Tank Fill - If Poison Timer Has Ended  - Transition to Tag Out State,INFO
2024004,2000.0,un0000000000002155,2024-12-02 06:54:46,False,4,Received the command for initializationstate,INFO
